,ementa,acao
691,"DISPOE SOBRE A CRIAÇÃO DO PROGRAMA ""BOLSA ATLETA"" E DÁ OUTRAS PROVIDÊNCIAS.",Criar programa Bolsa Atleta no município.
692,"DISPOE SOBRE A DISTRIBUIÇÃO GRATUITA E OBRIGATÓRIA, PELO PODER EXECUTIVO MUNICIPAL DE FRALDAS DESCARTÁVEIS PARA PESSOAS COM DEFICIÊNCIA FÍSICA, MENTAL OU NEUROLÓGICA, COM MODALIDADE REDUZIDA OU IDOSOS ACAMADOS QUE NÃO POSSUEM RECURSOS PARA ADQUIRI-LÁS , E DÁ OUTRAS PROVIDÊNCIAS","Distribuir gratuitamente fraldas descartáveis a pessoas com deficiência física, mental ou neurológica, com mobilidade reduzida, e a idosos acamados sem recursos."
694,DISPOE SOBRE O INCENTIVO AO PLANTIO DE ARVORES E DÁ OUTRAS PROVIDÊNCIAS,Incentivar o plantio de árvores no município.
695,""" INSTITUI A SEMANA MUNICIPAL DO ESTUDANTE, E DÁ OUTRAS PROVIDÊNCIAS.",Instituir a Semana Municipal do Estudante.
697,"DISPÕE SOBRE A OBRIGATORIEDADE DA UTILIZAÇÃO DE CARDÁPIOS "" EM BARES"" .",Tornar obrigatória a utilização de cardápios em bares.
698,DETERMINA A COMPRA DE ASSINATURAS DE JORNAIS PARA AS ESCOLAS PUBLICAS E DÁ OUTRAS PROVIDÊNCIAS.,Comprar assinaturas de jornais para as escolas públicas municipais.
700,"CRIA A CONFERÊNCIA E INSTITUI O CONSELHO MUNICIPAL DE TRANSITO E TRANSPORTE PÚBLICO DE MARABÁ, E DA OUTRAS PROVIDÊNCIAS",Criar a Conferência e instituir o Conselho Municipal de Trânsito e Transporte Público de Marabá.
702,"CRIA GUARDA MUNICIPAL DE MARABA, E DA OUTROS PROVIDENCIAS.",Criar Guarda Municipal de Marabá.
703,ALTERA DISPOSITIVO DA LEI Nº 13.093/93 É DA OUTRAS PROVIDÊNCIAS (SINDECOMAR),Alterar dispositivos da Lei nº 13.093/93 relativos ao SINDECOMAR.
705,CRIA O PROGRAMA DE GARANTIA DE RENDA MINIMA NA EDUCAÇÃO E DA OUTRAS PROVIDENCIAS,Criar programa de garantia de renda mínima vinculado à educação.
708,"DISPOE SOBRE A APLICAÇÃO DO IPTU DE FORMA LOCALIZADO NOS BAIRRO ONDE É ARRECADO, E DÁ OUTRAS PROVIDENCIAS.,",Aplicar a receita do IPTU de forma localizada nos bairros onde o imposto é arrecadado.
710,INSTITUI A SEMANA EDUCACIONAL DO TRANSITO NO MUNICIPIO DE MARABA,Instituir a Semana Educacional do Trânsito no município.
711,DISPÕE SOBRE A CRIAÇÃO DO MUSEU MUNICIPAL QUE DEVERA SER INSTALADO NO PREDIO ONDE FUNCIONARA O GRUPO ESCOLAR ESTADUAL A PRAÇA DUQUE DE CAXIAS HOJE PROXIMO DO MUNICIPIO POR FORÇA DA PERMUTA COM O ESTADO E DA OUTRAS PROVIDENCIA,Criar museu municipal a ser instalado no prédio do antigo grupo escolar da Praça Duque de Caxias.
712,REGULAMENTA O ART. 147-A DA LEI ORGÂNICA DO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Regulamentar o art. 147-A da Lei Orgânica do município de Marabá.
713,"DISPÕE SOBRE A ALTERAÇÃO DO ANEXO II DA LEI COMPLEMENTAR Nº 4, DE 30 DE DEZEMBRO DE 2010 (CÓDIGO TRIBUTÁRIO DO MUNICÍPIO DE MARABÁ).","Alterar o Anexo II da Lei Complementar nº 4/2010, Código Tributário do município."
714,FICA CRIADA A FUNDAÇÃO ESCOLA DO LEGISLATIVO DA CÂMARA MUNICIPAL DE MARABÁ – FELMAR.,Criar a Fundação Escola do Legislativo da Câmara Municipal de Marabá (FELMAR).
715,"ALTERA A LEI COMPLEMENTAR Nº 17, DE 4 DE JANEIRO DE 2023, QUE CONSOLIDA A LEGISLAÇÃO DO REGIME PRÓPRIO DE PREVIDÊNCIA SOCIAL (RPPS) DO MUNICÍPIO DE MARABÁ PARA DISPOR SOBRE O PLANO DE AMORTIZAÇÃO, PARA EQUACIONAMENTO DO DÉFICIT ATUARIAL DO RPPS.",Alterar a Lei Complementar nº 17/2023 para definir plano de amortização do déficit atuarial do RPPS do município.
716,"DISPÕE SOBRE A ALTERAÇÃO DO ANEXO III DA LEI COMPLEMENTAR Nº 4, DE 30 DE DEZEMBRO DE 2010 (CÓDIGO TRIBUTÁRIO DO MUNICÍPIO DE MARABÁ).","Alterar o Anexo III da Lei Complementar nº 4/2010, Código Tributário do município."
717,REGULAMENTA O ART. 147-A DA LEI ORGÂNICA DO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS,Regulamentar o art. 147-A da Lei Orgânica do município de Marabá.
718,"ALTERA O ART. 108, VI, LETRA “B” DA LEI COMPLEMENTAR 04/2010 (CÓDIGO TRIBUTÁRIO MUNICIPAL DE MARABÁ-PA). QUE DISPÕE SOBRE A VEDAÇÃO DO MUNICÍPIO A INSTITUIR IMPOSTOS SOBRE TEMPLOS DE QUALQUER CULTO, E ACRESCENTANDO-LHES OS § 1°, §2°;§3°, COM AMPARO NA ALTERAÇÃO DO ART. 156, DA CF/88, ATRAVÉS DA EC 116/2022.","Alterar o art. 108, VI, “b”, da LC 04/2010 para vedar impostos municipais sobre templos de qualquer culto, acrescentando os §§1º, 2º e 3º conforme a EC 116/2022."
719,"ALTERA A LEI COMPLEMENTAR Nº 17, DE 4 DE JANEIRO DE 2023, QUE CONSOLIDA A LEGISLAÇÃO DO REGIME PRÓPRIO DE PREVIDÊNCIA SOCIAL - RPPS DO MUNICÍPIO DE MARABÁ, ESTADO DO PARÁ, ADEQUANDO-SE À EMENDA CONSTITUCIONAL Nº 103, DE 12 DE NOVEMBRO DE 2019.",Alterar a Lei Complementar nº 17/2023 para adequar o RPPS municipal à Emenda Constitucional nº 103/2019.
720,"ALTERA A LEI COMPLEMENTAR Nº 17, DE 4 DE JANEIRO DE 2023, QUE CONSOLIDOU A LEGISLAÇÃO DO REGIME PRÓPRIO DE PREVIDÊNCIA SOCIAL (RPPS) DO MUNICÍPIO DE MARABÁ, ADEQUANDO-SE À PORTARIA Nº 1.467, DE 2 DE JUNHO DE 2022, DO MINISTÉRIO DO TRABALHO E PREVIDÊNCIA.",Alterar a Lei Complementar nº 17/2023 para adequar o RPPS municipal à Portaria nº 1.467/2022 do Ministério do Trabalho e Previdência.
721,"Dispõe sobre a isenção do serviço de Transporte Público Individual Remunerado de Passageiros em Táxi no município de Marabá referente ao recolhimento dos tributos de que tratam os Anexos II e VI da Lei Complementar nº 04, de 30 de dezembro de 2010 (Código Tributário do município de Marabá), em virtude da pandemia causada pela COVID-19.",Conceder isenção dos tributos previstos nos Anexos II e VI do Código Tributário municipal aos taxistas durante a pandemia de COVID-19.
722,"ALTERA O §1º DO ART. 516 DA LEI COMPLEMENTAR Nº 04, DE 30 DE DEZEMBRO DE 2010 (CÓDIGO TRIBUTÁRIO DO MUNICÍPIO DE MARABÁ).","Alterar o §1º do art. 516 da Lei Complementar nº 4/2010, Código Tributário do município."
724,"REVOGA OS ARTS. 346 A 377 E ANEXO XI DA LEI COMPLEMENTAR Nº 04, DE 30 DE DEZEMBRO DE 2010 (CÓDIGO TRIBUTÁRIO DO MUNICÍPIO DE MARABÁ).","Revogar os arts. 346 a 377 e o Anexo XI da Lei Complementar nº 4/2010, Código Tributário do município."
725,"Institui o Regime de Previdência Complementar no âmbito do Município de Marabá, Estado do Pará, fixa o limite máximo para a concessão de aposentadorias e pensões pelo Regime Próprio de Previdência Social de que trata o art. 40 da Constituição Federal, e dá outras providências.",Instituir regime de previdência complementar no município e fixar limite máximo para aposentadorias e pensões do RPPS.
726,"Consolida a legislação do Regime Próprio de Previdência Social - RPPS do Município de Marabá, Estado do Pará, adequando-se à Emenda Constitucional nº 103, de 12 de novembro de 2019.",Consolidar a legislação do RPPS do município e adequá-la à Emenda Constitucional nº 103/2019.
727,"DISPÕE SOBRE ALTERAÇÃO DO ITEM 8 DO ANEXO XIII DA LEI COMPLEMENTAR Nº 04, DE 30 DE DEZEMBRO DE 2010, QUE INSTITUIU O CÓDIGO TRIBUTÁRIO DO MUNICÍPIO DE MARABÁ.(ORIGEM Nº 01)","Alterar o item 8 do Anexo XIII da Lei Complementar nº 4/2010, Código Tributário do município."
728,"DISPÕE SOBRE MEDIDAS DE INCENTIVO À INSERÇÃO DE PESSOAS COM TRANSTORNO DO ESPECTRO AUTISTA (TEA) NO MERCADO DE TRABALHO NO ÂMBITO DO MUNICÍPIO DE MARABÁ – PA, E DÁ OUTRAS PROVIDÊNCIAS.",Implementar medidas de incentivo à inserção de pessoas com transtorno do espectro autista (TEA) no mercado de trabalho no município.
729,INSTITUI OS CENTROS DE EXAMES DA MULHER (CEM) NO ÂMBITO DO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS,Criar Centros de Exames da Mulher (CEM) no município.
730,"DECLARA O HOSPITAL SANTA TEREZINHA, LOCALIZADO NA RUA BARÃO DO RIO BRANCO, Nº 709, MUNICÍPIO DE MARABÁ, ESTADO DO PARÁ, COMO PATRIMÔNIO HISTÓRICO E CULTURAL DO MUNICÍPIO DE MARABÁ.",Registrar o Hospital Santa Terezinha como patrimônio histórico e cultural do município.
731,DECLARA A ROMARIA DE SANTO EXPEDITO COMO PATRIMÔNIO CULTURAL E IMATERIAL DO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Reconhecer a Romaria de Santo Expedito como patrimônio cultural e imaterial do município.
732,"DECLARA DE UTILIDADE PÚBLICA PARA O MUNICÍPIO DE MARABÁ, ESTADO DO PARÁ, A ASSOCIAÇÃO DOS PEQUENOS PRODUTORES RURAIS DO PA JOSÉ PINHEIRO E DÁ OUTRAS PROVIDÊNCIAS.",Reconhecer a Associação dos Pequenos Produtores Rurais do PA José Pinheiro como entidade de utilidade pública municipal.
733,"DECLARA COMO PATRIMÔNIO CULTURAL DE NATUREZA IMATERIAL DO MUNICÍPIO DE MARABÁ, ESTADO DO PARÁ, O ARRAIAL SORRISO DO SERTÃO, REALIZADA NO NÚCLEO MORADA NOVA.","Reconhecer o Arraial Sorriso do Sertão, no Núcleo Morada Nova, como patrimônio cultural imaterial do município."
734,"DISPÕE SOBRE A LIMPEZA, ROÇAGEM E MANUTENÇÃO DE TERRENOS BALDIOS E NÃO EDIFICADOS NO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.","Exigir a limpeza, roçagem e manutenção de terrenos baldios e não edificados no município."
735,"DISPÕE SOBRE A CRIAÇÃO DE UM PROGRAMA DE ACOMPANHAMENTO PSICOLÓGICO PARA CRIANÇAS E ADOLESCENTES QUE SOFRERAM ABANDONO AFETIVO, NO ÂMBITO DAS ESCOLAS DA REDE MUNICIPAL DE ENSINO DE MARABÁ, E DÁ OUTRAS PROVIDÊNCIAS.",Criar programa de acompanhamento psicológico para crianças e adolescentes que sofreram abandono afetivo nas escolas da rede municipal.
736,"DISPÕE SOBRE A OBRIGATORIEDADE DE ADICIONAR ESPECIFICAÇÕES TÉCNICAS NAS PLACAS DE OBRAS DE PAVIMENTAÇÃO E URBANIZAÇÃO NO MUNICÍPIO DE MARABÁ, E DÁ OUTRAS PROVIDÊNCIAS.",Exigir a inclusão de especificações técnicas nas placas de obras de pavimentação e urbanização no município.
737,"DECLARA COMO PATRIMÔNIO HISTÓRICO, CULTURAL E AMBIENTAL DO MUNICÍPIO DE MARABÁ O PARQUE AMBIENTAL VAVAZÃO, LOCALIZADO NO FINAL DA AVENIDA ANTÔNIO VILHENA, BAIRRO INDEPENDÊNCIA, NÚCLEO CIDADE NOVA, E DÁ OUTRAS PROVIDÊNCIAS.","Reconhecer o Parque Ambiental Vavazão como patrimônio histórico, cultural e ambiental do município."
738,"SUBSTITUTIVO DO PROJETO QUE CRIA O AUXÍLIO FARDAMENTO PARA AQUISIÇÃO DE FARDAMENTO PARA OS GUARDAS E INSPETORES, NO ÂMBITO DA GUARDA MUNICIPAL DE MARABÁ (GMM), AOS AGENTES MUNICIPAIS DE TRÂNSITO E TRANSPORTE, NO ÂMBITO DO DEPARTAMENTO MUNICIPAL DE TRÂNSITO E TRANSPORTE URBANO (DMTU), E AOS AGENTES DE SEGURANÇA PATRIMONIAL, NO ÂMBITO DO DEPARTAMENTO MUNICIPAL DE SEGURANÇA PATRIMONIAL (DMSP) NO MUNICÍPIO DE MARABÁ.","Conceder auxílio fardamento para aquisição de uniformes a guardas municipais, agentes de trânsito e agentes de segurança patrimonial do município."
739,"DECLARA A PARÓQUIA SANTUÁRIO NOSSA SENHORA DE NAZARÉ, LOCALIZADA NA FOLHA 16 QUADRA 12 LOTE 07, NO BAIRRO NOVA MARABÁ, ESTADO DO PARÁ, COMO PATRIMÔNIO CULTURAL E IMATERIAL DO MUNICÍPIO DE MARABÁ.",Reconhecer a Paróquia Santuário Nossa Senhora de Nazaré como patrimônio cultural e imaterial do município.
740,"DISPÕE SOBRE A PUBLICAÇÃO EM SITE NA INTERNET DA LISTA DE ESPERA DE CONSULTAS COMUNS OU ESPECIALIZADAS, EXAMES, CIRURGIAS E QUAISQUER OUTROS PROCEDIMENTOS OU AÇÕES DE SAÚDE AGENDADA PELOS CIDADÃOS NO MUNICÍPIO.","Publicar em site na internet a lista de espera de consultas, exames, cirurgias e demais procedimentos de saúde agendados no município."
741,ESTABELECE A POSSIBILIDADE DO AGENDAMENTO TELEFÔNICO DE CONSULTAS PARA PACIENTES IDOSOS E PARA PESSOAS COM DEFICIÊNCIAS JÁ CADASTRADAS NAS UNIDADES DE SAÚDE DO MUNICÍPIO E DÁ OUTRAS PROVIDÊNCIAS.,Permitir o agendamento telefônico de consultas para pacientes idosos e pessoas com deficiência cadastrados nas unidades de saúde do município.
742,"“INSTITUI, NO ÂMBITO DO MUNICÍPIO DE MARABÁ, O PROJETO ‘DIREITO NAS ESCOLAS’, EM PARCERIA COM INSTITUIÇÕES DE ENSINO SUPERIOR, COM O OBJETIVO DE PROMOVER A EDUCAÇÃO EM DIREITOS, CIDADANIA E CONSTITUIÇÃO NAS ESCOLAS PÚBLICAS MUNICIPAIS, E DÁ OUTRAS PROVIDÊNCIAS.”","Implantar o projeto “Direito nas Escolas” em parceria com instituições de ensino superior para promover educação em direitos, cidadania e Constituição nas escolas públicas municipais."
743,"DECLARA DE UTILIDADE PÚBLICA PARA O MUNICÍPIO DE MARABÁ, ESTADO DO PARÁ, A ASSOCIAÇÃO DOS PEQUENOS PRODUTORES RURAIS DO PROJETO DE ASSENTAMENTO SERRA AZUL, E DÁ OUTRAS PROVIDÊNCIAS.",Reconhecer a Associação dos Pequenos Produtores Rurais do PA Serra Azul como entidade de utilidade pública municipal.
744,“INSTITUI O PROGRAMA MUNICIPAL DE DEFESA CIVIL NAS ESCOLAS DA REDE MUNICIPAL DE ENSINO E DÁ OUTRAS PROVIDÊNCIAS.”,Implantar programa municipal de Defesa Civil nas escolas da rede municipal de ensino.
745,"DENOMINA DE MANOEL DE JESUS BORGES DA SILVA A PRAÇA LOCALIZADA NO BAIRRO NOVO DA VILA CAPISTRANO DE ABREU, REGIÃO DO RIO PRETO, MARABÁ/PA.",Dar o nome Manoel de Jesus Borges da Silva à praça localizada no Bairro Novo da Vila Capistrano de Abreu.
746,DECLARA O PROGRAMA MUNICIPAL DE SAÚDE INTEGRAL DA MULHER NEGRA NO ÂMBITO DO MUNICIPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Criar o Programa Municipal de Saúde Integral da Mulher Negra no município.
747,INSTITUI O DIA 16 DE OUTUBRO DE CADA ANO COMO DATA COMEMORATIVA DO BAIRRO BELO HORIZONTE.,Instituir 16 de outubro como data comemorativa do Bairro Belo Horizonte.
748,"DECLARA A CAPELA NOSSA SENHORA DE NAZARÉ, LOCALIZADA NA CHÁCARA NA RUA DAS CACIMBAS, N° 123 - EMAÚS, COMO PATRIMÔNIO CULTURAL E IMATERIAL DO MUNICIPIO DE MARABÁ, E DÁ OUTRAS PROVIDENCIAS.","Reconhecer a Capela Nossa Senhora de Nazaré, na Rua das Cacimbas, como patrimônio cultural e imaterial do município."
749,INSTITUI A POLÍTICA DE APOIO À SAÚDE MENTAL E SEGURANÇA DO TRABALHO DOS SERVIDORES PÚBLICOS NO ÂMBITO DA ADMINISTRAÇÃO PÚBLICA MUNICIPAL DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Implementar política de apoio à saúde mental e segurança do trabalho dos servidores públicos municipais.
750,"INSTITUI A POLÍTICA MUNICIPAL DE CONSCIENTIZAÇÃO E ATENÇÃO INTEGRAL À SAÚDE DA MULHER NO CLIMATÉRIO E NA MENOPAUSA, NO MUNICÍPIO DE MARABÁ, E DÁ OUTRAS PROVIDÊNCIAS.",Implementar política municipal de conscientização e atenção integral à saúde da mulher no climatério e na menopausa.
751,"OBRIGA EMPRESAS COM MAIS DE 50 (CINQUENTA) FUNCIONÁRIOS, SITUADAS NO MUNICÍPIO DE MARABÁ, A IMPLEMENTAR PROGRAMAS DE SAÚDE MENTAL NO AMBIENTE DE TRABALHO, INCLUINDO POLÍTICAS DE PREVENÇÃO, ACESSO A SESSÕES DE APOIO PSICOLÓGICO E CAMPANHAS DE CONSCIENTIZAÇÃO, E DÁ OUTRAS PROVIDÊNCIAS.","Obrigar empresas com mais de 50 funcionários a implementar programas de saúde mental no ambiente de trabalho, com prevenção, apoio psicológico e campanhas de conscientização."
752,INSTITUI O DIA 10 DE AGOSTO DE CADA ANO COMO DATA COMEMORATIVA DO BAIRRO INFRAERO.,Instituir 10 de agosto como data comemorativa do Bairro Infraero.
753,"DECLARA DE UTILIDADE PÚBLICA PARA O MUNICÍPIO DE MARABÁ, ESTADO DO PARÁ A ASSOCIAÇÃO DESPORTIVA E RECREATIVA DA VELHA GUARDA DE MORADA NOVA (VELHA GUARDA), E DÁ OUTRAS PROVIDÊNCIAS.",Reconhecer a Associação Desportiva e Recreativa da Velha Guarda de Morada Nova como entidade de utilidade pública municipal.
754,"DISPÕE SOBRE A VEDAÇÃO À NOMEAÇÃO PARA CARGOS EM COMISSÃO E À CONTRATAÇÃO, NO ÂMBITO DA ADMINISTRAÇÃO PÚBLICA DIRETA E INDIRETA DO MUNICÍPIO DE MARABÁ, DE PESSOAS CONDENADAS NAS CONDIÇÕES PREVISTAS NA LEI FEDERAL Nº 11.340, DE 07 DE AGOSTO DE 2006 (LEI MARIA DA PENHA), E DÁ OUTRAS PROVIDÊNCIAS.","Proibir a nomeação e contratação, pela administração pública municipal, de pessoas condenadas nos termos da Lei Maria da Penha."
755,"DISPÕE SOBRE A PROIBIÇÃO DA EXECUÇÃO DE MÚSICAS COM LETRAS QUE FAÇAM APOLOGIA AO CRIME, AO USO DE DROGAS OU EXPRESSEM CONTEÚDOS SEXUAIS NAS INSTITUIÇÕES ESCOLARES PÚBLICAS DO MUNICÍPIO DE MARABÁ/PA, E DÁ OUTRAS PROVIDÊNCIAS.","Proibir a execução de músicas com apologia ao crime, ao uso de drogas ou com conteúdo sexual nas escolas públicas municipais."
756,"INSTITUI A OBRIGATORIEDADE DE INSTALAÇÃO DE PAINÉIS ELETRÔNICOS INFORMATIVOS NOS HOSPITAIS MUNICIPAIS DE MARABÁ/PA, FUTURAS UPAS E POSTOS DE SAÚDE, PARA A DIVULGAÇÃO DE INFORMAÇÕES SOBRE HORÁRIO DE ENTRADA E SAÍDE DOS MÉDICOS, ENFERMEIROS E DEMAIS PROFISSIONAIS, ESPECIALIDADES DISPONÍVEIS E TEMPO APROXIMADO DE ATENDIMENTO, E DÁ OUTRAS PROVIDÊNCIAS.","Instalar painéis eletrônicos informativos em hospitais, UPAs e postos de saúde municipais para divulgar horários, profissionais, especialidades e tempo aproximado de atendimento."
757,"DISPÕE SOBRE A DISTRIBUIÇÃO GRATUITA, PELO PODER EXECUTIVO, DE MEDIDOR CONTÍNUO DE GLICEMIA AOS PORTADORES DE DIABETES TIPO I.",Distribuir gratuitamente medidores contínuos de glicemia a portadores de diabetes tipo I.
758,"INSTITUI O PROGRAMA ""CIDADÃO AMIGO DO TRÂNSITO"" NO ÂMBITO DO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.",Criar o programa “Cidadão Amigo do Trânsito” no município.
759,INSTITUI O PROGRAMA MUNICIPAL DE COMBATE À POLUIÇÃO SONORA NO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Criar programa municipal de combate à poluição sonora no município.
760,DECLARA A CATEDRAL NOSSA SENHORA DO PERPÉTUO SOCORRO COMO PATRIMÔNIO MATERIAL E CULTURAL DO MUNICIPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Reconhecer a Catedral Nossa Senhora do Perpétuo Socorro como patrimônio material e cultural do município.
761,"AUTORIZA O PODER EXECUTIVO EFETUAR A QUALIFICAÇÃO E CONTRATAÇÃO DE ENTIDADES SEM FINS LUCRATIVOS COMO ORGANIZAÇÃO SOCIAL - OS, E DÁ OUTRAS PROVIDÊNCIAS",Qualificar e contratar entidades sem fins lucrativos como organizações sociais para execução de serviços públicos no município.
762,"DISPÕE SOBRE A PROTEÇÃO DOS DIREITOS DAS PESSOAS COM DIAGNÓSTICO DE CÂNCER NO MUNICÍPIO DE MARABÁ – PA, E DÁ OUTRAS PROVIDÊNCIAS.",Garantir proteção e direitos às pessoas com diagnóstico de câncer no município.
763,"DISPÕE SOBRE A OBRIGATORIEDADE DO KIT DE PRIMEIROS SOCORROS EM RESTAURANTES, BARES, PRAÇAS DE ALIMENTAÇÃO DE SHOPPINGS CENTERS E ESTABELECIMENTOS SIMILARES.","Exigir a disponibilização de kit de primeiros socorros em restaurantes, bares, praças de alimentação e estabelecimentos similares."
764,DISPÕE SOBRE A CRIAÇÃO DA PRAÇA DE ALIMENTAÇÃO NO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Criar praça de alimentação no município.
765,"DECLARA A IGREJA GETSEMANI BATISTA – IGB, LOCALIZADA NA FOLHA 33, QUADRA 37, LOTE 7, BAIRRO NOVA MARABÁ, MUNICÍPIO DE MARABÁ, ESTADO DO PARÁ, COMO PATRIMÔNIO HISTÓRICO E CULTURAL DO MUNICÍPIO DE MARABÁ.",Reconhecer a Igreja Getsemani Batista (IGB) como patrimônio histórico e cultural do município.
767,"ALTERA A LEI MUNICIPAL Nº 18.465, DE 28 DE MAIO DE 2025, QUE CONCEDE REAJUSTE SALARIAL AOS SERVIDORES PÚBLICOS MUNICIPAIS DA ADMINISTRAÇÃO DIRETA, INDIRETA E FUNDACIONAL DO PODER EXECUTIVO DO MUNICÍPIO DE MARABÁ.","Alterar a Lei nº 18.465/2025 sobre reajuste salarial dos servidores públicos municipais da administração direta, indireta e fundacional."
768,"ALTERA A LEI Nº 18.469, DE 29 DE MAIO DE 2025 A FIM DE CRIAR UM CARGO DE ADVOGADO NOS QUADROS PERMANENTES DA CÂMARA MUNICIPAL DE MARABÁ.",Criar cargo de advogado nos quadros permanentes da Câmara Municipal de Marabá.
769,DECLARO COMO PATRIMÔNIO CULTURAL E IMATERIAL DO MUNICIPIO DE MARABÁ O ARRAIAL NO BAIRRO JARDIM VITORIA,Reconhecer o Arraial do Bairro Jardim Vitória como patrimônio cultural e imaterial do município.
770,"DECLARA DE UTILIDADE PÚBLICA PARA O MUNICÍPIO DE MARABÁ, ESTADO DO PARÁ O PROJETO SOCIAL MMA E DÁ OUTRAS PROVIDÊNCIAS.",Reconhecer o Projeto Social MMA como entidade de utilidade pública municipal.
771,INSTITUI O PROGRAMA “MOVIMENTA MARABÁ” NO ÂMBITO DO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Criar o programa “Movimenta Marabá” no município.
772,"ALTERA A LEI MUNICIPAL Nº 17.052, DE 27 DE DEZEMBRO DE 2002, QUE INSTITUI A CONTRIBUIÇÃO PARA CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA NO MUNICÍPIO DE MARABÁ.",Alterar a Lei nº 17.052/2002 sobre a contribuição para custeio do serviço de iluminação pública no município.
773,INSTITUI O DIA 5 DE MAIO DE CADA ANO COMO DATA COMEMORATIVA DO BAIRRO SÃO MIGUEL DA CONQUISTA,Instituir 5 de maio como data comemorativa do Bairro São Miguel da Conquista.
774,"DISPÕE SOBRE A OBRIGATORIEDADE, NO MUNICÍPIO DE MARABÁ, DO FORNECIMENTO DE ÁGUA POTÁVEL POR PARTE DOS ORGANIZADORES RESPONSÁVEIS POR EVENTOS COM GRANDE CONCENTRAÇÃO DE PÚBLICO E DÁ OUTRAS PROVIDÊNCIAS.",Obrigar organizadores de eventos com grande concentração de público a fornecer água potável no município.
775,"DISPÕE SOBRE A OBRIGATORIEDADE DA DIVULGAÇÃO DA RELAÇÃO DE MEDICAMENTOS DE DISTRIBUIÇÃO GRATUITA QUE COMPÕEM NO ESTOQUE DA SECRETARIA MUNICIPAL DE SAÚDE, NA PÁGINA DO PODER EXECUTIVO NA INTERNET E DÁ OUTRAS PROVIDÊNCIAS.",Divulgar na página do Executivo na internet a relação de medicamentos de distribuição gratuita disponíveis na Secretaria Municipal de Saúde.
776,"DISPÕE SOBRE O PROGRAMA ""SORRISO PARA TODOS"" E DÁ OUTRAS PROVIDÊNCIAS.",Criar o programa “Sorriso para Todos” no município.
777,"DISPÕE SOBRE A VALORIZAÇÃO, PROTEÇÃO E REGULAMENTAÇÃO DOS COMUNICADORES, INCLUINDO JORNALISTAS, REPÓRTERES E DEMAIS PROFISSIONAIS DA COMUNICAÇÃO, E DÁ OUTRAS PROVIDÊNCIAS.","Valorizar, proteger e regulamentar a atuação de comunicadores, jornalistas, repórteres e demais profissionais da comunicação no município."
778,"DECLARA COMO PATRIMÔNIO CULTURAL DE NATUREZA IMATERIAL DO MUNICÍPIO DE MARABÁ O DIA 11 DE MARÇO, DATA OFICIAL DO ANIVERSÁRIO DO NÚCLEO SÃO FÉLIX, E DÁ OUTRAS PROVIDÊNCIAS.","Reconhecer o dia 11 de março, aniversário do Núcleo São Félix, como patrimônio cultural imaterial do município."
779,RECONHECE COMO PATRIMÔNIO CULTURAL DE NATUREZA IMATERIAL DO MUNICÍPIO DE MARABÁ O FESTIVAL DO SORVETE DA CASA DO CAMINHO.,Reconhecer o Festival do Sorvete da Casa do Caminho como patrimônio cultural imaterial do município.
780,"DISPÕE SOBRE A OBRIGATORIEDADE DE ELABORAÇÃO DE PLANO DE METAS PARA A INSTALAÇÃO DE APARELHOS DE AR-CONDICIONADO NAS ESCOLAS DA REDE MUNICIPAL DE ENSINO DE MARABÁ/PA, E DÁ OUTRAS PROVIDÊNCIAS.",Elaborar plano de metas para instalação de aparelhos de ar-condicionado nas escolas da rede municipal de ensino.
781,"ALTERA A LEI MUNICIPAL N° 17.884, DE 06 DE DEZEMBRO DE 2018, QUE DISPÕE SOBRE AS DIRETRIZES PARA CONSTRUÇÃO, AMPLIAÇÃO, REFORMA E FUNCIONAMENTO DE POSTOS REVENDEDORES DE COMBUSTÍVEIS AUTOMOTIVO, NO ÂMBITO DO MUNICÍPIO DE MARABÁ.","Alterar a Lei nº 17.884/2018 sobre construção, ampliação, reforma e funcionamento de postos revendedores de combustíveis automotivos no município."
782,"INSTITUI NO ÂMBITO DO MUNICÍPIO DE MARABÁ O ""AGOSTO LILÁS"", DEDICADO À CONSCIENTIZAÇÃO PELO FIM DA VIOLÊNCIA CONTRA A MULHER, E DÁ OUTRAS PROVIDÊNCIAS",Instituir o “Agosto Lilás” como mês de conscientização pelo fim da violência contra a mulher no município.
